,Name,Year,Duration,Rate,Rating,Genres,Image_URL,URL
0,Furiosa: A Mad Max Saga,2024,2h 28m,R,7.8,"Action, Adventure, Sci-Fi","https://m.media-amazon.com/images/M/MV5BNmYzMWVjNmQtNjJjNy00M2Y4LTkzZjQtZWQ5NmYzMjRjMDIzXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_QL75_UY281_CR18,0,190,281_.jpg",https://www.imdb.com/title/tt12037194/?ref_=sr_i_1
1,Hit Man,2023,1h 55m,R,7.0,"Action, Comedy, Crime","https://m.media-amazon.com/images/M/MV5BYTJmMDM4YWItMGM2YS00MzQ0LTliM2ItZDE1NzVlMjNjNDVlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UY281_CR18,0,190,281_.jpg",https://www.imdb.com/title/tt20215968/?ref_=sr_i_2
2,Godzilla Minus One,2023,2h 4m,PG-13,7.8,"Action, Adventure, Drama","https://m.media-amazon.com/images/M/MV5BOTI5MjNjMTMtN2NiNC00YjBlLTgzMWQtMGRhZDZkYmY1NGU2XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt23289160/?ref_=sr_i_3
3,Bad Boys: Ride or Die,2024,1h 55m,R,7.0,"Action, Adventure, Comedy","https://m.media-amazon.com/images/M/MV5BY2U5YmQ3YjgtM2I2OC00YmM5LTkyM2MtN2I5Zjg2MDE0ODkwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt4919268/?ref_=sr_i_4
4,The Fall Guy,2024,2h 6m,PG-13,7.0,"Action, Comedy, Drama",N/A,https://www.imdb.com/title/tt1684562/?ref_=sr_i_5
5,Civil War,2024,1h 49m,R,7.2,"Action, Adventure, Thriller","https://m.media-amazon.com/images/M/MV5BYTYyODhlODktYjUzNC00NjUyLWI1MzYtNmI0MTY3YTUxYjY2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt17279496/?ref_=sr_i_6
6,Venom: The Last Dance,2024,N/A,N/A,N/A,"Action, Adventure, Sci-Fi",N/A,https://www.imdb.com/title/tt16366836/?ref_=sr_i_7
7,Under Paris,2024,1h 44m,TV-MA,5.3,"Action, Drama, Horror","https://m.media-amazon.com/images/M/MV5BMDM5ODBiN2ItOTk4Yi00NzgyLWE2YTktYzhjYTc2ODE4ZTE4XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt13964390/?ref_=sr_i_8
8,The First Omen,2024,1h 59m,R,6.5,Horror,N/A,https://www.imdb.com/title/tt5672290/?ref_=sr_i_9
9,Kingdom of the Planet of the Apes,2024,2h 25m,PG-13,7.2,"Action, Adventure, Sci-Fi","https://m.media-amazon.com/images/M/MV5BZGI4NTEwNTAtZDcwMi00MDkxLTg1OGYtNTZmMzE3ZDljNzVlXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt11389872/?ref_=sr_i_10
10,Dune: Part Two,2024,2h 46m,PG-13,8.6,"Action, Adventure, Drama",N/A,https://www.imdb.com/title/tt15239678/?ref_=sr_i_11
11,MaXXXine,2024,1h 43m,R,N/A,"Crime, Horror",N/A,https://www.imdb.com/title/tt22048412/?ref_=sr_i_12
12,The Watchers,2024,1h 42m,PG-13,5.8,"Fantasy, Horror, Mystery",N/A,https://www.imdb.com/title/tt26736843/?ref_=sr_i_13
13,Atlas,2024,1h 58m,PG-13,5.6,"Action, Adventure, Drama",N/A,https://www.imdb.com/title/tt14856980/?ref_=sr_i_14
14,Mad Max: Fury Road,2015,2h,R,8.1,"Action, Adventure, Sci-Fi","https://m.media-amazon.com/images/M/MV5BN2EwM2I5OWMtMGQyMi00Zjg1LWJkNTctZTdjYTA4OGUwZjMyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt1392190/?ref_=sr_i_15
15,Alien: Romulus,2024,R,N/A,N/A,"Horror, Sci-Fi","https://m.media-amazon.com/images/M/MV5BMDU0NjcwOGQtNjNjOS00NzQ3LWIwM2YtYWVmODZjMzQzN2ExXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt18412256/?ref_=sr_i_16
16,Challengers,2024,2h 11m,R,7.3,"Drama, Romance, Sport","https://m.media-amazon.com/images/M/MV5BNTk1MTdmYzctNzlkOS00ZTNmLWI4ZTMtMzc3OWFkMDI0MTJkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt16426418/?ref_=sr_i_17
17,IF,2024,1h 44m,PG,6.7,"Animation, Comedy, Drama",N/A,https://www.imdb.com/title/tt11152168/?ref_=sr_i_18
18,In a Violent Nature,2024,1h 34m,Not Rated,6.3,"Drama, Horror, Thriller",N/A,https://www.imdb.com/title/tt30321146/?ref_=sr_i_19
19,The Garfield Movie,2024,1h 41m,PG,5.8,"Animation, Adventure, Comedy",N/A,https://www.imdb.com/title/tt5779228/?ref_=sr_i_20
20,The Ministry of Ungentlemanly Warfare,2024,2h,R,6.9,"Action, Drama, War",N/A,https://www.imdb.com/title/tt5177120/?ref_=sr_i_21
21,The Strangers: Chapter 1,2024,1h 31m,R,4.7,Horror,N/A,https://www.imdb.com/title/tt22050754/?ref_=sr_i_22
22,Colors of Evil: Red,2024,1h 51m,TV-MA,6.3,"Crime, Drama, Mystery","https://m.media-amazon.com/images/M/MV5BZWQ0OTAzMjMtNTJkYS00ODUwLTg5NGYtYTUwOWMzZjU1NThlXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt27578157/?ref_=sr_i_23
23,Inside Out 2,2024,1h 36m,PG,8.0,"Animation, Adventure, Comedy","https://m.media-amazon.com/images/M/MV5BYTc1MDQ3NjAtOWEzMi00YzE1LWI2OWUtNjQ0OWJkMzI3MDhmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt22022452/?ref_=sr_i_24
24,Godzilla x Kong: The New Empire,2024,1h 55m,PG-13,6.2,"Action, Adventure, Fantasy",N/A,https://www.imdb.com/title/tt14539740/?ref_=sr_i_25
